full_model_td,full_model_asd,intensity_channel_td,intensity_channel_asd,orientation_channel_td,orientation_channel_asd,color_channel_td,color_channel_asd,motion_channel_td,motion_channel_asd,flicker_channel_td,flicker_channel_asd
0.600788449,0.594587787,0.492433956,0.517437296,0.711591074,0.696215565,0.494969783,0.519340332,0.49286394,0.522628285,0.74953968,0.646199837
0.604396776,0.596333677,0.511082398,0.53683364,0.719260273,0.693723262,0.649511791,0.625490443,0.639466784,0.639056211,0.769837868,0.635820109
0.778213361,0.761349817,0.537022062,0.578847717,0.849665089,0.75598981,0.618987136,0.620831922,0.532054767,0.571295278,0.792161083,0.638312965
0.764250169,0.759322576,0.500531428,0.545048611,0.817136215,0.765603063,0.609382792,0.615388224,0.484453032,0.542756254,0.781494529,0.660532012
0.587768673,0.600214551,0.491144495,0.537762046,0.527148772,0.550684678,0.607685165,0.611929795,0.507809948,0.549772903,0.778947376,0.66194167
0.526536373,0.472460801,0.500673105,0.454490615,0.689362485,0.605008611,0.377206422,0.343497448,0.40913615,0.364449395,0.783882485,0.69169925
0.654307966,0.586868521,0.679154659,0.619581602,0.712907139,0.630078087,0.603653645,0.545895701,0.599862478,0.544661322,0.789199449,0.680759133
0.816596238,0.70956586,0.836384117,0.725571197,0.82763171,0.713420943,0.806479287,0.702410753,0.752631717,0.669833534,0.803382187,0.672207114
0.824538588,0.72259744,0.839925543,0.739347424,0.828709612,0.718070731,0.813778966,0.71723482,0.808432532,0.719298314,0.798256829,0.686126764
0.796617944,0.724767613,0.817950939,0.74658236,0.795933438,0.712072456,0.792889063,0.726022428,0.797028756,0.732615916,0.779328688,0.692541535
0.806908349,0.71563243,0.839968468,0.735174131,0.797606938,0.702720466,0.812700951,0.714484127,0.821696339,0.721160093,0.789403376,0.680699595
0.739036757,0.670345616,0.80936819,0.703242211,0.728351877,0.686444592,0.719735607,0.649863872,0.732657967,0.651933092,0.789403376,0.675895598
0.746110182,0.669370477,0.805057444,0.69369,0.747244675,0.698576254,0.716430392,0.630432309,0.729187921,0.640903851,0.789403376,0.678562941
0.71096722,0.660846891,0.779153837,0.700858274,0.709965588,0.674843558,0.69729447,0.639363948,0.712516009,0.646084138,0.765825456,0.68717032
0.73311511,0.693268711,0.790204576,0.717184574,0.717643334,0.687333464,0.739981082,0.678240259,0.74679813,0.687897008,0.768795897,0.693293965
0.721295306,0.712113517,0.773422021,0.725652771,0.697368992,0.702248662,0.716820571,0.688430248,0.732193951,0.696998938,0.755728325,0.701572896
0.722693016,0.711448121,0.78193438,0.725515642,0.71313165,0.712109464,0.724271906,0.673423219,0.750564182,0.699548582,0.756765258,0.693293656
0.735988141,0.727849992,0.791648927,0.734506838,0.735385792,0.730125198,0.692980037,0.660966505,0.771629986,0.718190194,0.77037506,0.696124788
0.746408816,0.733910309,0.786082867,0.741245323,0.742559618,0.736849171,0.684169564,0.670466492,0.769953458,0.727542413,0.767945391,0.695976824
0.744476228,0.746577308,0.777063744,0.751564923,0.761517514,0.750877578,0.605528423,0.638645164,0.750041857,0.726740916,0.755566033,0.70854838
0.73254077,0.74713006,0.784329841,0.756698518,0.772915472,0.761914582,0.596285449,0.6316672,0.749751796,0.726442943,0.761966953,0.712887757
0.743719156,0.748540081,0.760607165,0.75241539,0.793320662,0.773833486,0.588641073,0.617632359,0.709417637,0.720719662,0.746088212,0.716545163
0.74454837,0.77507074,0.754165596,0.782176433,0.795125609,0.796627472,0.60229822,0.661455581,0.709610453,0.747898913,0.750284205,0.75670053
0.785852235,0.775220415,0.790393976,0.784561769,0.833076231,0.802279373,0.649847788,0.66339051,0.742955282,0.740535264,0.775312734,0.764359549
0.815604355,0.788456302,0.805018985,0.791751015,0.858946963,0.811868918,0.679887836,0.682427914,0.758749938,0.749108772,0.785082072,0.779598944
0.823926755,0.802517009,0.808456921,0.803435289,0.865452465,0.823704507,0.71037303,0.724719618,0.769709737,0.766242217,0.786858342,0.781622953
0.820706311,0.803897557,0.803921955,0.804416146,0.866654167,0.831020924,0.695982111,0.708079915,0.760979036,0.764993969,0.789431196,0.788822599
0.827878508,0.803690305,0.808178558,0.806946772,0.872003464,0.83245594,0.698406973,0.707254265,0.764483744,0.767000005,0.788676946,0.794474421
0.833203982,0.81999293,0.813467288,0.829464003,0.869549398,0.839836741,0.712435048,0.739671037,0.770617058,0.792655747,0.788676946,0.808860988
0.828431343,0.823490547,0.80974587,0.823229923,0.869533702,0.849474405,0.716850096,0.737141297,0.767178288,0.788725766,0.79123689,0.8063568
0.844885369,0.831357308,0.826578829,0.832590423,0.882267192,0.855276957,0.757156074,0.767295506,0.795278761,0.799716201,0.788119802,0.808882625
0.840036281,0.82612233,0.826604321,0.826715285,0.871152592,0.854873403,0.748722499,0.747396758,0.782314928,0.788520228,0.78718587,0.805378612
0.85057759,0.854792218,0.838067079,0.846095679,0.883878777,0.877494159,0.792102918,0.801129409,0.796127892,0.811513202,0.790400564,0.817155733
0.851820319,0.858408946,0.830425076,0.846530758,0.889762276,0.881258866,0.784664346,0.802127453,0.793187266,0.811712811,0.786599841,0.814153931
0.866313248,0.864791987,0.83857034,0.848142103,0.900196792,0.886640024,0.788596036,0.804480915,0.800229714,0.814787398,0.789327052,0.803434549
